plot;tag;GenusSpecies;family;order1;order2;order3
P23;536582;Swartzia simplex;Fabaceae-papilionoideae;0.527992772755892;0.161236657028843;0.205287041273583
P23;536582;Swartzia simplex;Fabaceae-papilionoideae;0.242328396711655;0.114065275244353;0.299996826548027
P23;536582;Swartzia simplex;Fabaceae-papilionoideae;0.365541244124713;0.225479580277777;0.159407924446211
P23;536475;Zuelania guidonia;Salicaceae;1.87691458884107;0.318068618180882;0.364853785343553
P23;536475;Zuelania guidonia;Salicaceae;1.37465290370933;0.538165247352796;0.157051877749628
P23;536475;Zuelania guidonia;Salicaceae;0.506221727499958;0.643920229247603;0.177784391150792
P23;536475;Zuelania guidonia;Salicaceae;0.874370863761787;0.470210998627155;0.443299596159536
P23;536811;Bursera simaruba;Burseraceae;0.744013915597652;0.318735753609583;0.17950394811996
P23;536811;Bursera simaruba;Burseraceae;0.832804287824642;0.187172393473926;0.35317527668141
P23;536811;Bursera simaruba;Burseraceae;0.416266540048942;0.313699896474686;0.266461055915734
P23;536811;Bursera simaruba;Burseraceae;0.181251393689355;0.161271074297004;0.162101876426832
